Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,1050.000000,1065.000000,1020.000000,1025.000000,1021.826660,33661600
2021-03-08,1050.000000,1050.000000,1025.000000,1025.000000,1021.826660,35510300
2021-03-09,1025.000000,1045.000000,990.000000,1000.000000,996.904053,39807300
2021-03-10,1000.000000,1045.000000,1000.000000,1015.000000,1011.857666,32226000
2021-03-12,1020.000000,1065.000000,1020.000000,1060.000000,1056.718262,32427500
2021-03-15,1060.000000,1075.000000,1025.000000,1025.000000,1021.826660,33309600
2021-03-16,1025.000000,1050.000000,1025.000000,1030.000000,1026.811157,21303400
2021-03-17,1040.000000,1045.000000,1010.000000,1010.000000,1006.873108,23621800
2021-03-18,1010.000000,1030.000000,1010.000000,1020.000000,1016.842163,16979200
2021-03-19,1035.000000,1045.000000,1010.000000,1025.000000,1021.826660,49545400
2021-03-22,1030.000000,1030.000000,1005.000000,1010.000000,1006.873108,18683500
2021-03-23,1010.000000,1015.000000,985.000000,985.000000,981.950500,38598300
2021-03-24,980.000000,1000.000000,970.000000,1000.000000,996.904053,28302100
2021-03-25,1000.000000,1010.000000,950.000000,970.000000,966.996948,35417500
2021-03-26,970.000000,980.000000,940.000000,945.000000,942.074341,53344100
2021-03-29,945.000000,1020.000000,945.000000,1005.000000,1001.888611,98727800
2021-03-30,1005.000000,1005.000000,950.000000,990.000000,986.935059,52270800
2021-03-31,990.000000,990.000000,950.000000,960.000000,957.027893,61013200
2021-04-01,960.000000,970.000000,940.000000,945.000000,942.074341,36589300
2021-04-05,955.000000,970.000000,945.000000,960.000000,957.027893,32364400
2021-04-06,970.000000,995.000000,955.000000,985.000000,981.950500,38461400
2021-04-07,985.000000,1000.000000,965.000000,980.000000,976.966003,34722900
2021-04-08,990.000000,1020.000000,970.000000,1020.000000,1016.842163,58907800
2021-04-09,1025.000000,1040.000000,990.000000,990.000000,986.935059,39158800
2021-04-12,990.000000,1015.000000,960.000000,960.000000,957.027893,52051500
2021-04-13,960.000000,975.000000,935.000000,950.000000,947.058899,29123400
2021-04-14,950.000000,975.000000,945.000000,975.000000,971.981445,31260400
2021-04-15,975.000000,985.000000,950.000000,985.000000,981.950500,28188900
2021-04-16,980.000000,980.000000,960.000000,975.000000,971.981445,24960500
2021-04-19,975.000000,975.000000,945.000000,950.000000,947.058899,32999200
2021-04-20,940.000000,980.000000,940.000000,965.000000,962.012451,58617900
2021-04-21,965.000000,970.000000,940.000000,940.000000,937.089844,46590600
2021-04-22,940.000000,955.000000,920.000000,925.000000,922.136292,57708000
2021-04-23,935.000000,945.000000,925.000000,930.000000,927.120789,42073900
2021-04-26,930.000000,935.000000,905.000000,910.000000,907.182678,32217000
2021-04-27,910.000000,955.000000,885.000000,955.000000,952.043396,74291100
2021-04-28,960.000000,975.000000,930.000000,975.000000,971.981445,55112800
2021-04-29,975.000000,985.000000,960.000000,985.000000,981.950500,37043100
2021-04-30,980.000000,1000.000000,960.000000,1000.000000,996.904053,23250100
2021-05-03,995.000000,995.000000,960.000000,965.000000,962.012451,28093100
2021-05-04,980.000000,1000.000000,960.000000,1000.000000,996.904053,42167500
2021-05-05,1005.000000,1035.000000,975.000000,975.000000,971.981445,65475500
2021-05-06,980.000000,1000.000000,940.000000,945.000000,942.074341,44863200
2021-05-07,950.000000,955.000000,930.000000,930.000000,927.120789,28582100
2021-05-10,950.000000,950.000000,920.000000,925.000000,922.136292,40216400
2021-05-11,920.000000,940.000000,920.000000,925.000000,922.136292,27485100
2021-05-17,925.000000,935.000000,870.000000,870.000000,867.306519,65244200
2021-05-18,870.000000,895.000000,865.000000,880.000000,877.275574,37789600
2021-05-19,885.000000,885.000000,865.000000,875.000000,875.000000,28531000
2021-05-20,885.000000,945.000000,860.000000,930.000000,930.000000,79233800
2021-05-21,935.000000,940.000000,900.000000,900.000000,900.000000,37576200
2021-05-24,905.000000,910.000000,840.000000,850.000000,850.000000,71133000
2021-05-25,855.000000,890.000000,850.000000,860.000000,860.000000,52121800
2021-05-27,865.000000,885.000000,855.000000,855.000000,855.000000,72176600
2021-05-28,870.000000,890.000000,850.000000,890.000000,890.000000,31437300
2021-05-31,890.000000,900.000000,865.000000,900.000000,900.000000,47739500
2021-06-02,900.000000,910.000000,885.000000,910.000000,910.000000,55470300
2021-06-03,910.000000,930.000000,900.000000,930.000000,930.000000,38605100
2021-06-04,930.000000,930.000000,885.000000,885.000000,885.000000,37907300
2021-06-07,900.000000,915.000000,880.000000,885.000000,885.000000,31046400
2021-06-08,890.000000,905.000000,855.000000,855.000000,855.000000,49833000
2021-06-09,860.000000,865.000000,845.000000,860.000000,860.000000,49235800
2021-06-10,860.000000,875.000000,850.000000,865.000000,865.000000,47130400
2021-06-11,870.000000,880.000000,855.000000,860.000000,860.000000,31168300
2021-06-14,860.000000,865.000000,825.000000,825.000000,825.000000,46158000
2021-06-15,825.000000,880.000000,805.000000,880.000000,880.000000,82809700
2021-06-16,875.000000,900.000000,860.000000,860.000000,860.000000,70263000
2021-06-17,860.000000,880.000000,850.000000,850.000000,850.000000,34576500
2021-06-18,860.000000,865.000000,830.000000,860.000000,860.000000,69861000
2021-06-21,840.000000,860.000000,825.000000,835.000000,835.000000,37944700
2021-06-22,845.000000,940.000000,845.000000,925.000000,925.000000,131780200
2021-06-23,940.000000,940.000000,900.000000,915.000000,915.000000,37775200
2021-06-24,955.000000,955.000000,900.000000,915.000000,915.000000,28396500
2021-06-25,910.000000,920.000000,885.000000,895.000000,895.000000,23316700
2021-06-28,895.000000,895.000000,860.000000,860.000000,860.000000,35161600
2021-06-29,870.000000,895.000000,850.000000,865.000000,865.000000,30804400
2021-06-30,870.000000,885.000000,855.000000,855.000000,855.000000,35482100
