Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,8175.000000,8325.000000,8150.000000,8175.000000,7968.827148,4552800
2021-06-17,8175.000000,8250.000000,8125.000000,8125.000000,7920.088379,4122100
2021-06-18,8125.000000,8150.000000,7750.000000,7750.000000,7554.545410,22478200
2021-06-21,7725.000000,8000.000000,7625.000000,7925.000000,7725.132324,8643800
2021-06-22,7975.000000,8150.000000,7950.000000,8050.000000,7846.979492,4253300
2021-06-23,8150.000000,8150.000000,7950.000000,7975.000000,7773.871094,3698700
2021-06-24,8000.000000,8125.000000,7875.000000,8025.000000,7822.610352,5529100
2021-06-25,8025.000000,8100.000000,8000.000000,8025.000000,7822.610352,3121500
2021-06-28,8025.000000,8100.000000,7900.000000,7975.000000,7773.871094,3796900
2021-06-29,8050.000000,8300.000000,8000.000000,8250.000000,8041.935547,9487400
2021-06-30,8250.000000,8350.000000,8150.000000,8150.000000,7944.457520,5574700
2021-07-01,8425.000000,8700.000000,8350.000000,8500.000000,8285.630859,17723600
2021-07-02,8500.000000,8575.000000,8350.000000,8425.000000,8212.522461,10481800
2021-07-05,8425.000000,8425.000000,8200.000000,8225.000000,8017.566406,3802800
2021-07-06,8275.000000,8400.000000,8225.000000,8400.000000,8188.152832,2930700
2021-07-07,8350.000000,8500.000000,8325.000000,8450.000000,8236.891602,4513900
2021-07-08,8475.000000,8550.000000,8425.000000,8475.000000,8261.260742,3402100
2021-07-09,8400.000000,8600.000000,8375.000000,8550.000000,8334.370117,6327200
2021-07-12,8550.000000,8900.000000,8500.000000,8825.000000,8602.434570,12916200
2021-07-13,8825.000000,9025.000000,8725.000000,8950.000000,8724.282227,16894100
2021-07-14,8950.000000,8950.000000,8600.000000,8700.000000,8480.586914,7941000
2021-07-15,8675.000000,8800.000000,8600.000000,8675.000000,8456.216797,2707700
2021-07-16,8675.000000,8725.000000,8450.000000,8575.000000,8358.739258,5375000
2021-07-19,8575.000000,8575.000000,8425.000000,8500.000000,8285.630859,3177400
2021-07-21,8425.000000,8625.000000,8425.000000,8500.000000,8285.630859,4519000
2021-07-22,8575.000000,8850.000000,8525.000000,8825.000000,8602.434570,4700400
2021-07-23,8825.000000,8825.000000,8550.000000,8650.000000,8431.847656,4113700
2021-07-26,8700.000000,8800.000000,8600.000000,8725.000000,8504.956055,3926200
2021-07-27,8750.000000,8775.000000,8450.000000,8500.000000,8285.630859,3332900
2021-07-28,8500.000000,8550.000000,8400.000000,8500.000000,8285.630859,2409400
2021-07-29,8500.000000,8500.000000,8350.000000,8350.000000,8139.413574,4082900
2021-07-30,8325.000000,8350.000000,8125.000000,8125.000000,7920.088379,7765100
2021-08-02,8125.000000,8250.000000,8075.000000,8125.000000,7920.088379,5251600
2021-08-03,8150.000000,8300.000000,8125.000000,8225.000000,8017.566406,3370400
2021-08-04,8250.000000,8275.000000,8150.000000,8175.000000,7968.827148,2039900
2021-08-05,8175.000000,8200.000000,8125.000000,8150.000000,7944.457520,4600500
2021-08-06,8175.000000,8325.000000,8150.000000,8275.000000,8066.305176,2308400
2021-08-09,8325.000000,8350.000000,8100.000000,8150.000000,7944.457520,2627400
2021-08-10,8200.000000,8200.000000,7950.000000,8050.000000,7846.979492,6585900
2021-08-12,8125.000000,8225.000000,8050.000000,8075.000000,7871.349121,3115600
2021-08-13,8075.000000,8250.000000,8075.000000,8200.000000,7993.196777,2441900
2021-08-16,8200.000000,8250.000000,8150.000000,8250.000000,8041.935547,1827100
2021-08-18,8250.000000,8375.000000,8250.000000,8350.000000,8139.413574,4277300
2021-08-19,8350.000000,8375.000000,8150.000000,8150.000000,7944.457520,4775800
2021-08-20,8150.000000,8200.000000,8100.000000,8150.000000,7944.457520,2045300
2021-08-23,8250.000000,8250.000000,8175.000000,8225.000000,8017.566406,1949700
2021-08-24,8225.000000,8275.000000,8125.000000,8200.000000,7993.196777,5218600
2021-08-25,8300.000000,8300.000000,8075.000000,8225.000000,8017.566406,7193700
2021-08-26,8225.000000,8250.000000,8125.000000,8225.000000,8017.566406,3990200
2021-08-27,8225.000000,8300.000000,8125.000000,8300.000000,8090.674805,7356500
2021-08-30,8350.000000,8650.000000,8325.000000,8600.000000,8383.108398,11729900
2021-08-31,8600.000000,8625.000000,8425.000000,8425.000000,8212.522461,5271700
2021-09-01,8500.000000,8500.000000,8325.000000,8400.000000,8188.152832,3241900
2021-09-02,8425.000000,8450.000000,8325.000000,8450.000000,8236.891602,1920100
2021-09-03,8450.000000,8500.000000,8425.000000,8475.000000,8261.260742,3556700
2021-09-06,8500.000000,8550.000000,8500.000000,8525.000000,8310.000000,4167800
2021-09-07,8325.000000,8425.000000,8325.000000,8425.000000,8425.000000,2986500
2021-09-08,8450.000000,8450.000000,8350.000000,8425.000000,8425.000000,6423000
2021-09-09,8425.000000,8525.000000,8375.000000,8525.000000,8525.000000,3731500
2021-09-10,8525.000000,8525.000000,8450.000000,8500.000000,8500.000000,1793900
2021-09-13,8400.000000,8475.000000,8375.000000,8425.000000,8425.000000,2351900
2021-09-14,8425.000000,8475.000000,8400.000000,8450.000000,8450.000000,1167000
2021-09-15,8450.000000,8450.000000,8350.000000,8375.000000,8375.000000,5544500
2021-09-16,8375.000000,8400.000000,8175.000000,8225.000000,8225.000000,6857300
2021-09-17,8225.000000,8225.000000,8150.000000,8150.000000,8150.000000,4816000
2021-09-20,8250.000000,8250.000000,8075.000000,8125.000000,8125.000000,4134700
2021-09-21,8100.000000,8375.000000,8100.000000,8300.000000,8300.000000,3757800
2021-09-22,8300.000000,8325.000000,8200.000000,8200.000000,8200.000000,1639100
2021-09-23,8275.000000,8300.000000,8200.000000,8250.000000,8250.000000,1829100
2021-09-24,8250.000000,8300.000000,8175.000000,8300.000000,8300.000000,2634400
2021-09-27,8300.000000,8350.000000,8200.000000,8350.000000,8350.000000,5104700
2021-09-28,8350.000000,8350.000000,8175.000000,8225.000000,8225.000000,4369400
2021-09-29,8225.000000,8225.000000,8150.000000,8225.000000,8225.000000,2750800
2021-09-30,8225.000000,8400.000000,8225.000000,8350.000000,8350.000000,5656600
2021-10-01,8350.000000,8400.000000,8225.000000,8325.000000,8325.000000,4065700
2021-10-04,8375.000000,8650.000000,8350.000000,8650.000000,8650.000000,11058600
2021-10-05,8650.000000,8850.000000,8600.000000,8825.000000,8825.000000,13184600
2021-10-06,8825.000000,8900.000000,8700.000000,8850.000000,8850.000000,9047000
2021-10-07,8850.000000,9000.000000,8800.000000,8850.000000,8850.000000,9890400
2021-10-08,8850.000000,8925.000000,8775.000000,8900.000000,8900.000000,5016500
2021-10-11,8900.000000,8925.000000,8800.000000,8850.000000,8850.000000,4998400
2021-10-12,8875.000000,8900.000000,8800.000000,8875.000000,8875.000000,7922600
2021-10-13,8875.000000,9000.000000,8800.000000,8950.000000,8950.000000,9413800
2021-10-14,9000.000000,9325.000000,8975.000000,9325.000000,9325.000000,19813500
2021-10-15,9350.000000,9425.000000,9100.000000,9275.000000,9275.000000,10441700
2021-10-18,9300.000000,9350.000000,9200.000000,9300.000000,9300.000000,7172800
2021-10-19,9300.000000,9350.000000,9225.000000,9300.000000,9300.000000,5926900
2021-10-21,9350.000000,9350.000000,9100.000000,9225.000000,9225.000000,8833800
2021-10-22,9225.000000,9225.000000,9025.000000,9100.000000,9100.000000,8038500
2021-10-25,9100.000000,9150.000000,9025.000000,9100.000000,9100.000000,5603700
2021-10-26,9125.000000,9200.000000,9075.000000,9100.000000,9100.000000,6724600
2021-10-27,9150.000000,9175.000000,8800.000000,8850.000000,8850.000000,7857600
